Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
318,S1-M16-3,S1-M16-3_L001_R1_001.fastq.gz,S1-M16-3_L001_R2_001.fastq.gz,S1,M16,3,16,MZ11,Ms71,NAM Parents,Modern maize
319,S1-M17-1,S1-M17-1_L001_R1_001.fastq.gz,S1-M17-1_L001_R2_001.fastq.gz,S1,M17,1,17,MZ23,MS153,Hapmap3,Modern maize
320,S1-M17-2,S1-M17-2_L001_R1_001.fastq.gz,S1-M17-2_L001_R2_001.fastq.gz,S1,M17,2,17,MZ23,MS153,Hapmap3,Modern maize
321,S1-M17-3,S1-M17-3_L001_R1_001.fastq.gz,S1-M17-3_L001_R2_001.fastq.gz,S1,M17,3,17,MZ23,MS153,Hapmap3,Modern maize
322,S1-M18-1,S1-M18-1_L001_R1_001.fastq.gz,S1-M18-1_L001_R2_001.fastq.gz,S1,M18,1,18,MZ15,Mt42,Hapmap3,Modern maize
323,S1-M18-2,S1-M18-2_L001_R1_001.fastq.gz,S1-M18-2_L001_R2_001.fastq.gz,S1,M18,2,18,MZ15,Mt42,Hapmap3,Modern maize
324,S1-M18-3,S1-M18-3_L001_R1_001.fastq.gz,S1-M18-3_L001_R2_001.fastq.gz,S1,M18,3,18,MZ15,Mt42,Hapmap3,Modern maize
325,S1-M19-1,S1-M19-1_L001_R1_001.fastq.gz,S1-M19-1_L001_R2_001.fastq.gz,S1,M19,1,19,MZ16,NC222,Hapmap3,Modern maize
326,S1-M19-2,S1-M19-2_L001_R1_001.fastq.gz,S1-M19-2_L001_R2_001.fastq.gz,S1,M19,2,19,MZ16,NC222,Hapmap3,Modern maize
327,S1-M19-3,S1-M19-3_L001_R1_001.fastq.gz,S1-M19-3_L001_R2_001.fastq.gz,S1,M19,3,19,MZ16,NC222,Hapmap3,Modern maize
328,S1-M2-1,S1-M2-1_L001_R1_001.fastq.gz,S1-M2-1_L001_R2_001.fastq.gz,S1,M2,1,2,MZ21,A635,Hapmap3,Modern maize
329,S1-M2-2,S1-M2-2_L001_R1_001.fastq.gz,S1-M2-2_L001_R2_001.fastq.gz,S1,M2,2,2,MZ21,A635,Hapmap3,Modern maize
330,S1-M2-3,S1-M2-3_L001_R1_001.fastq.gz,S1-M2-3_L001_R2_001.fastq.gz,S1,M2,3,2,MZ21,A635,Hapmap3,Modern maize
331,S1-M20-1,S1-M20-1_L001_R1_001.fastq.gz,S1-M20-1_L001_R2_001.fastq.gz,S1,M20,1,20,MZ12,NC230,Hapmap3,Modern maize
332,S1-M20-2,S1-M20-2_L001_R1_001.fastq.gz,S1-M20-2_L001_R2_001.fastq.gz,S1,M20,2,20,MZ12,NC230,Hapmap3,Modern maize
333,S1-M20-3,S1-M20-3_L001_R1_001.fastq.gz,S1-M20-3_L001_R2_001.fastq.gz,S1,M20,3,20,MZ12,NC230,Hapmap3,Modern maize
334,S1-M21-1,S1-M21-1_L001_R1_001.fastq.gz,S1-M21-1_L001_R2_001.fastq.gz,S1,M21,1,21,MZ8,NC358,NAM Parents,Modern maize
335,S1-M21-2,S1-M21-2_L001_R1_001.fastq.gz,S1-M21-2_L001_R2_001.fastq.gz,S1,M21,2,21,MZ8,NC358,NAM Parents,Modern maize
336,S1-M21-3,S1-M21-3_L001_R1_001.fastq.gz,S1-M21-3_L001_R2_001.fastq.gz,S1,M21,3,21,MZ8,NC358,NAM Parents,Modern maize
337,S1-M22-1,S1-M22-1_L001_R1_001.fastq.gz,S1-M22-1_L001_R2_001.fastq.gz,S1,M22,1,22,MZ3,Oh7B,NAM Parents,Modern maize
338,S1-M22-2,S1-M22-2_L001_R1_001.fastq.gz,S1-M22-2_L001_R2_001.fastq.gz,S1,M22,2,22,MZ3,Oh7B,NAM Parents,Modern maize
339,S1-M22-3,S1-M22-3_L001_R1_001.fastq.gz,S1-M22-3_L001_R2_001.fastq.gz,S1,M22,3,22,MZ3,Oh7B,NAM Parents,Modern maize
340,S1-M23-1,S1-M23-1_L001_R1_001.fastq.gz,S1-M23-1_L001_R2_001.fastq.gz,S1,M23,1,23,MZ2,Oh43,NAM Parents,Modern maize
341,S1-M23-2,S1-M23-2_L001_R1_001.fastq.gz,S1-M23-2_L001_R2_001.fastq.gz,S1,M23,2,23,MZ2,Oh43,NAM Parents,Modern maize
342,S1-M23-3,S1-M23-3_L001_R1_001.fastq.gz,S1-M23-3_L001_R2_001.fastq.gz,S1,M23,3,23,MZ2,Oh43,NAM Parents,Modern maize
343,S1-M24-1,S1-M24-1_L001_R1_001.fastq.gz,S1-M24-1_L001_R2_001.fastq.gz,S1,M24,1,24,MZ18,VA22,Hapmap3,Modern maize
344,S1-M24-2,S1-M24-2_L001_R1_001.fastq.gz,S1-M24-2_L001_R2_001.fastq.gz,S1,M24,2,24,MZ18,VA22,Hapmap3,Modern maize
345,S1-M25-1,S1-M25-1_L001_R1_001.fastq.gz,S1-M25-1_L001_R2_001.fastq.gz,S1,M25,1,25,MZ13,VA59,Hapmap3,Modern maize
346,S1-M25-2,S1-M25-2_L001_R1_001.fastq.gz,S1-M25-2_L001_R2_001.fastq.gz,S1,M25,2,25,MZ13,VA59,Hapmap3,Modern maize
347,S1-M25-3,S1-M25-3_L001_R1_001.fastq.gz,S1-M25-3_L001_R2_001.fastq.gz,S1,M25,3,25,MZ13,VA59,Hapmap3,Modern maize
348,S1-M26-1,S1-M26-1_L001_R1_001.fastq.gz,S1-M26-1_L001_R2_001.fastq.gz,S1,M26,1,26,MZ22,W182B,Hapmap3,Modern maize
349,S1-M26-2,S1-M26-2_L001_R1_001.fastq.gz,S1-M26-2_L001_R2_001.fastq.gz,S1,M26,2,26,MZ22,W182B,Hapmap3,Modern maize
350,S1-M26-3,S1-M26-3_L001_R1_001.fastq.gz,S1-M26-3_L001_R2_001.fastq.gz,S1,M26,3,26,MZ22,W182B,Hapmap3,Modern maize
351,S1-M3-1,S1-M3-1_L001_R1_001.fastq.gz,S1-M3-1_L001_R2_001.fastq.gz,S1,M3,1,3,MZ20,A680,Hapmap3,Modern maize
352,S1-M3-2,S1-M3-2_L001_R1_001.fastq.gz,S1-M3-2_L001_R2_001.fastq.gz,S1,M3,2,3,MZ20,A680,Hapmap3,Modern maize
353,S1-M3-3,S1-M3-3_L001_R1_001.fastq.gz,S1-M3-3_L001_R2_001.fastq.gz,S1,M3,3,3,MZ20,A680,Hapmap3,Modern maize
354,S1-M4-1,S1-M4-1_L001_R1_001.fastq.gz,S1-M4-1_L001_R2_001.fastq.gz,S1,M4,1,4,MZ1,B73,NAM Parents,Modern maize
355,S1-M4-2,S1-M4-2_L001_R1_001.fastq.gz,S1-M4-2_L001_R2_001.fastq.gz,S1,M4,2,4,MZ1,B73,NAM Parents,Modern maize
356,S1-M4-3,S1-M4-3_L001_R1_001.fastq.gz,S1-M4-3_L001_R2_001.fastq.gz,S1,M4,3,4,MZ1,B73,NAM Parents,Modern maize
357,S1-M5-1,S1-M5-1_L001_R1_001.fastq.gz,S1-M5-1_L001_R2_001.fastq.gz,S1,M5,1,5,MZ10,B97,NAM Parents,Modern maize
358,S1-M5-2,S1-M5-2_L001_R1_001.fastq.gz,S1-M5-2_L001_R2_001.fastq.gz,S1,M5,2,5,MZ10,B97,NAM Parents,Modern maize
359,S1-M5-3,S1-M5-3_L001_R1_001.fastq.gz,S1-M5-3_L001_R2_001.fastq.gz,S1,M5,3,5,MZ10,B97,NAM Parents,Modern maize
360,S1-M6-1,S1-M6-1_L001_R1_001.fastq.gz,S1-M6-1_L001_R2_001.fastq.gz,S1,M6,1,6,MZ25,B164,Hapmap3,Modern maize
361,S1-M6-2,S1-M6-2_L001_R1_001.fastq.gz,S1-M6-2_L001_R2_001.fastq.gz,S1,M6,2,6,MZ25,B164,Hapmap3,Modern maize
362,S1-M6-3,S1-M6-3_L001_R1_001.fastq.gz,S1-M6-3_L001_R2_001.fastq.gz,S1,M6,3,6,MZ25,B164,Hapmap3,Modern maize
363,S1-M7-1,S1-M7-1_L001_R1_001.fastq.gz,S1-M7-1_L001_R2_001.fastq.gz,S1,M7,1,7,MZ26,C49A,Hapmap3,Modern maize
364,S1-M7-2,S1-M7-2_L001_R1_001.fastq.gz,S1-M7-2_L001_R2_001.fastq.gz,S1,M7,2,7,MZ26,C49A,Hapmap3,Modern maize
365,S1-M7-3,S1-M7-3_L001_R1_001.fastq.gz,S1-M7-3_L001_R2_001.fastq.gz,S1,M7,3,7,MZ26,C49A,Hapmap3,Modern maize
366,S1-M8-1,S1-M8-1_L001_R1_001.fastq.gz,S1-M8-1_L001_R2_001.fastq.gz,S1,M8,1,8,MZ24,CML91,Hapmap3,Modern maize
367,S1-M8-2,S1-M8-2_L001_R1_001.fastq.gz,S1-M8-2_L001_R2_001.fastq.gz,S1,M8,2,8,MZ24,CML91,Hapmap3,Modern maize
368,S1-M8-3,S1-M8-3_L001_R1_001.fastq.gz,S1-M8-3_L001_R2_001.fastq.gz,S1,M8,3,8,MZ24,CML91,Hapmap3,Modern maize
369,S1-M9-1,S1-M9-1_L001_R1_001.fastq.gz,S1-M9-1_L001_R2_001.fastq.gz,S1,M9,1,9,MZ14,H95,Hapmap3,Modern maize
370,S1-M9-2,S1-M9-2_L001_R1_001.fastq.gz,S1-M9-2_L001_R2_001.fastq.gz,S1,M9,2,9,MZ14,H95,Hapmap3,Modern maize
371,S1-M9-3,S1-M9-3_L001_R1_001.fastq.gz,S1-M9-3_L001_R2_001.fastq.gz,S1,M9,3,9,MZ14,H95,Hapmap3,Modern maize
372,S1-T52-1,S1-T52-1_L001_R1_001.fastq.gz,S1-T52-1_L001_R2_001.fastq.gz,S1,T52,1,52,,Ames 21785,,Teosinte
373,S1-T52-2,S1-T52-2_L001_R1_001.fastq.gz,S1-T52-2_L001_R2_001.fastq.gz,S1,T52,2,52,,Ames 21785,,Teosinte
374,S1-T52-3,S1-T52-3_L001_R1_001.fastq.gz,S1-T52-3_L001_R2_001.fastq.gz,S1,T52,3,52,,Ames 21785,,Teosinte
375,S1-T53-1,S1-T53-1_L001_R1_001.fastq.gz,S1-T53-1_L001_R2_001.fastq.gz,S1,T53,1,53,,Ames 21786,,Teosinte
376,S1-T53-2,S1-T53-2_L001_R1_001.fastq.gz,S1-T53-2_L001_R2_001.fastq.gz,S1,T53,2,53,,Ames 21786,,Teosinte
377,S1-T53-3,S1-T53-3_L001_R1_001.fastq.gz,S1-T53-3_L001_R2_001.fastq.gz,S1,T53,3,53,,Ames 21786,,Teosinte
378,S1-T54-1,S1-T54-1_L001_R1_001.fastq.gz,S1-T54-1_L001_R2_001.fastq.gz,S1,T54,1,54,,Ames 21787,,Teosinte
379,S1-T54-2,S1-T54-2_L001_R1_001.fastq.gz,S1-T54-2_L001_R2_001.fastq.gz,S1,T54,2,54,,Ames 21787,,Teosinte
380,S1-T54-3,S1-T54-3_L001_R1_001.fastq.gz,S1-T54-3_L001_R2_001.fastq.gz,S1,T54,3,54,,Ames 21787,,Teosinte
381,S1-T55-1,S1-T55-1_L001_R1_001.fastq.gz,S1-T55-1_L001_R2_001.fastq.gz,S1,T55,1,55,,PI 566688,,Teosinte
382,S1-T55-2,S1-T55-2_L001_R1_001.fastq.gz,S1-T55-2_L001_R2_001.fastq.gz,S1,T55,2,55,,PI 566688,,Teosinte
383,S1-T55-3,S1-T55-3_L001_R1_001.fastq.gz,S1-T55-3_L001_R2_001.fastq.gz,S1,T55,3,55,,PI 566688,,Teosinte
384,S1-T56-1,S1-T56-1_L001_R1_001.fastq.gz,S1-T56-1_L001_R2_001.fastq.gz,S1,T56,1,56,,Ames 21789,,Teosinte
385,S1-T56-2,S1-T56-2_L001_R1_001.fastq.gz,S1-T56-2_L001_R2_001.fastq.gz,S1,T56,2,56,,Ames 21789,,Teosinte
386,S1-T56-3,S1-T56-3_L001_R1_001.fastq.gz,S1-T56-3_L001_R2_001.fastq.gz,S1,T56,3,56,,Ames 21789,,Teosinte
387,S1-T57-1,S1-T57-1_L001_R1_001.fastq.gz,S1-T57-1_L001_R2_001.fastq.gz,S1,T57,1,57,,Ames 21790,,Teosinte
388,S1-T57-2,S1-T57-2_L001_R1_001.fastq.gz,S1-T57-2_L001_R2_001.fastq.gz,S1,T57,2,57,,Ames 21790,,Teosinte
389,S1-T57-3,S1-T57-3_L001_R1_001.fastq.gz,S1-T57-3_L001_R2_001.fastq.gz,S1,T57,3,57,,Ames 21790,,Teosinte
390,S1-T58-1,S1-T58-1_L001_R1_001.fastq.gz,S1-T58-1_L001_R2_001.fastq.gz,S1,T58,1,58,,Ames 21793,,Teosinte
391,S1-T58-2,S1-T58-2_L001_R1_001.fastq.gz,S1-T58-2_L001_R2_001.fastq.gz,S1,T58,2,58,,Ames 21793,,Teosinte
392,S1-T58-3,S1-T58-3_L001_R1_001.fastq.gz,S1-T58-3_L001_R2_001.fastq.gz,S1,T58,3,58,,Ames 21793,,Teosinte
393,S1-T59-1,S1-T59-1_L001_R1_001.fastq.gz,S1-T59-1_L001_R2_001.fastq.gz,S1,T59,1,59,,Ames 21796,,Teosinte
394,S1-T59-2,S1-T59-2_L001_R1_001.fastq.gz,S1-T59-2_L001_R2_001.fastq.gz,S1,T59,2,59,,Ames 21796,,Teosinte
395,S1-T59-3,S1-T59-3_L001_R1_001.fastq.gz,S1-T59-3_L001_R2_001.fastq.gz,S1,T59,3,59,,Ames 21796,,Teosinte
396,S1-T60-1,S1-T60-1_L001_R1_001.fastq.gz,S1-T60-1_L001_R2_001.fastq.gz,S1,T60,1,60,,Ames 21797,,Teosinte
397,S1-T60-2,S1-T60-2_L001_R1_001.fastq.gz,S1-T60-2_L001_R2_001.fastq.gz,S1,T60,2,60,,Ames 21797,,Teosinte
398,S1-T60-3,S1-T60-3_L001_R1_001.fastq.gz,S1-T60-3_L001_R2_001.fastq.gz,S1,T60,3,60,,Ames 21797,,Teosinte
399,S1-T61-1,S1-T61-1_L001_R1_001.fastq.gz,S1-T61-1_L001_R2_001.fastq.gz,S1,T61,1,61,,Ames 21798,,Teosinte
400,S1-T61-2,S1-T61-2_L001_R1_001.fastq.gz,S1-T61-2_L001_R2_001.fastq.gz,S1,T61,2,61,,Ames 21798,,Teosinte
401,S1-T61-3,S1-T61-3_L001_R1_001.fastq.gz,S1-T61-3_L001_R2_001.fastq.gz,S1,T61,3,61,,Ames 21798,,Teosinte
402,S1-T62-1,S1-T62-1_L001_R1_001.fastq.gz,S1-T62-1_L001_R2_001.fastq.gz,S1,T62,1,62,,Ames 21799,,Teosinte
403,S1-T62-2,S1-T62-2_L001_R1_001.fastq.gz,S1-T62-2_L001_R2_001.fastq.gz,S1,T62,2,62,,Ames 21799,,Teosinte
404,S1-T62-3,S1-T62-3_L001_R1_001.fastq.gz,S1-T62-3_L001_R2_001.fastq.gz,S1,T62,3,62,,Ames 21799,,Teosinte
405,S1-T63-1,S1-T63-1_L001_R1_001.fastq.gz,S1-T63-1_L001_R2_001.fastq.gz,S1,T63,1,63,,Ames 21800,,Teosinte
406,S1-T63-2,S1-T63-2_L001_R1_001.fastq.gz,S1-T63-2_L001_R2_001.fastq.gz,S1,T63,2,63,,Ames 21800,,Teosinte
407,S1-T63-3,S1-T63-3_L001_R1_001.fastq.gz,S1-T63-3_L001_R2_001.fastq.gz,S1,T63,3,63,,Ames 21800,,Teosinte
408,S1-T64-1,S1-T64-1_L001_R1_001.fastq.gz,S1-T64-1_L001_R2_001.fastq.gz,S1,T64,1,64,,Ames 21801,,Teosinte
409,S1-T64-2,S1-T64-2_L001_R1_001.fastq.gz,S1-T64-2_L001_R2_001.fastq.gz,S1,T64,2,64,,Ames 21801,,Teosinte
410,S1-T64-3,S1-T64-3_L001_R1_001.fastq.gz,S1-T64-3_L001_R2_001.fastq.gz,S1,T64,3,64,,Ames 21801,,Teosinte
411,S1-T65-1,S1-T65-1_L001_R1_001.fastq.gz,S1-T65-1_L001_R2_001.fastq.gz,S1,T65,1,65,,Ames 21802,,Teosinte
412,S1-T65-2,S1-T65-2_L001_R1_001.fastq.gz,S1-T65-2_L001_R2_001.fastq.gz,S1,T65,2,65,,Ames 21802,,Teosinte
413,S1-T65-3,S1-T65-3_L001_R1_001.fastq.gz,S1-T65-3_L001_R2_001.fastq.gz,S1,T65,3,65,,Ames 21802,,Teosinte
414,S1-T66-1,S1-T66-1_L001_R1_001.fastq.gz,S1-T66-1_L001_R2_001.fastq.gz,S1,T66,1,66,,Ames 21803,,Teosinte
415,S1-T66-2,S1-T66-2_L001_R1_001.fastq.gz,S1-T66-2_L001_R2_001.fastq.gz,S1,T66,2,66,,Ames 21803,,Teosinte
416,S1-T66-3,S1-T66-3_L001_R1_001.fastq.gz,S1-T66-3_L001_R2_001.fastq.gz,S1,T66,3,66,,Ames 21803,,Teosinte
417,S1-T67-1,S1-T67-1_L001_R1_001.fastq.gz,S1-T67-1_L001_R2_001.fastq.gz,S1,T67,1,67,,Ames 21809,,Teosinte
418,S1-T67-2,S1-T67-2_L001_R1_001.fastq.gz,S1-T67-2_L001_R2_001.fastq.gz,S1,T67,2,67,,Ames 21809,,Teosinte
419,S1-T67-3,S1-T67-3_L001_R1_001.fastq.gz,S1-T67-3_L001_R2_001.fastq.gz,S1,T67,3,67,,Ames 21809,,Teosinte
420,S1-T68-1,S1-T68-1_L001_R1_001.fastq.gz,S1-T68-1_L001_R2_001.fastq.gz,S1,T68,1,68,,Ames 21826,,Teosinte
421,S1-T68-2,S1-T68-2_L001_R1_001.fastq.gz,S1-T68-2_L001_R2_001.fastq.gz,S1,T68,2,68,,Ames 21826,,Teosinte
422,S1-T69-1,S1-T69-1_L001_R1_001.fastq.gz,S1-T69-1_L001_R2_001.fastq.gz,S1,T69,1,69,,Ames 21828,,Teosinte
423,S1-T69-2,S1-T69-2_L001_R1_001.fastq.gz,S1-T69-2_L001_R2_001.fastq.gz,S1,T69,2,69,,Ames 21828,,Teosinte
424,S1-T69-3,S1-T69-3_L001_R1_001.fastq.gz,S1-T69-3_L001_R2_001.fastq.gz,S1,T69,3,69,,Ames 21828,,Teosinte
425,S1-T70-1,S1-T70-1_L001_R1_001.fastq.gz,S1-T70-1_L001_R2_001.fastq.gz,S1,T70,1,70,,Ames 21829,,Teosinte
426,S1-T70-2,S1-T70-2_L001_R1_001.fastq.gz,S1-T70-2_L001_R2_001.fastq.gz,S1,T70,2,70,,Ames 21829,,Teosinte
427,S1-T70-3,S1-T70-3_L001_R1_001.fastq.gz,S1-T70-3_L001_R2_001.fastq.gz,S1,T70,3,70,,Ames 21829,,Teosinte
428,S1-T71-1,S1-T71-1_L001_R1_001.fastq.gz,S1-T71-1_L001_R2_001.fastq.gz,S1,T71,1,71,,Ames 21830,,Teosinte
429,S1-T71-2,S1-T71-2_L001_R1_001.fastq.gz,S1-T71-2_L001_R2_001.fastq.gz,S1,T71,2,71,,Ames 21830,,Teosinte
430,S1-T71-3,S1-T71-3_L001_R1_001.fastq.gz,S1-T71-3_L001_R2_001.fastq.gz,S1,T71,3,71,,Ames 21830,,Teosinte
431,S1-T72-1,S1-T72-1_L001_R1_001.fastq.gz,S1-T72-1_L001_R2_001.fastq.gz,S1,T72,1,72,,Ames 21851,,Teosinte
432,S1-T72-2,S1-T72-2_L001_R1_001.fastq.gz,S1-T72-2_L001_R2_001.fastq.gz,S1,T72,2,72,,Ames 21851,,Teosinte
433,S1-T72-3,S1-T72-3_L001_R1_001.fastq.gz,S1-T72-3_L001_R2_001.fastq.gz,S1,T72,3,72,,Ames 21851,,Teosinte
434,S1-T73-1,S1-T73-1_L001_R1_001.fastq.gz,S1-T73-1_L001_R2_001.fastq.gz,S1,T73,1,73,,Ames 21860,,Teosinte
435,S1-T73-2,S1-T73-2_L001_R1_001.fastq.gz,S1-T73-2_L001_R2_001.fastq.gz,S1,T73,2,73,,Ames 21860,,Teosinte
436,S1-T73-3,S1-T73-3_L001_R1_001.fastq.gz,S1-T73-3_L001_R2_001.fastq.gz,S1,T73,3,73,,Ames 21860,,Teosinte
437,S1-T74-1,S1-T74-1_L001_R1_001.fastq.gz,S1-T74-1_L001_R2_001.fastq.gz,S1,T74,1,74,,PI 566673,,Teosinte
438,S1-T74-2,S1-T74-2_L001_R1_001.fastq.gz,S1-T74-2_L001_R2_001.fastq.gz,S1,T74,2,74,,PI 566673,,Teosinte
439,S1-T74-3,S1-T74-3_L001_R1_001.fastq.gz,S1-T74-3_L001_R2_001.fastq.gz,S1,T74,3,74,,PI 566673,,Teosinte
440,S1-T75-1,S1-T75-1_L001_R1_001.fastq.gz,S1-T75-1_L001_R2_001.fastq.gz,S1,T75,1,75,,PI5666677,,Teosinte
441,S1-T75-2,S1-T75-2_L001_R1_001.fastq.gz,S1-T75-2_L001_R2_001.fastq.gz,S1,T75,2,75,,PI5666677,,Teosinte
442,S1-T75-3,S1-T75-3_L001_R1_001.fastq.gz,S1-T75-3_L001_R2_001.fastq.gz,S1,T75,3,75,,PI5666677,,Teosinte
443,S1-T76-1,S1-T76-1_L001_R1_001.fastq.gz,S1-T76-1_L001_R2_001.fastq.gz,S1,T76,1,76,,Teo 8759,,Teosinte
444,S1-T76-2,S1-T76-2_L001_R1_001.fastq.gz,S1-T76-2_L001_R2_001.fastq.gz,S1,T76,2,76,,Teo 8759,,Teosinte
445,S1-T76-3,S1-T76-3_L001_R1_001.fastq.gz,S1-T76-3_L001_R2_001.fastq.gz,S1,T76,3,76,,Teo 8759,,Teosinte
