Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
58,S9-L44-1,S9-L44-1_L001_R1_001.fastq.gz,S9-L44-1_L001_R2_001.fastq.gz,S9,L44,1,44,LR11,PI 620846,Xu et al. 2020,Landrace
59,S9-L44-2,S9-L44-2_L001_R1_001.fastq.gz,S9-L44-2_L001_R2_001.fastq.gz,S9,L44,2,44,LR11,PI 620846,Xu et al. 2020,Landrace
60,S9-L44-3,S9-L44-3_L001_R1_001.fastq.gz,S9-L44-3_L001_R2_001.fastq.gz,S9,L44,3,44,LR11,PI 620846,Xu et al. 2020,Landrace
61,S9-L45-1,S9-L45-1_L001_R1_001.fastq.gz,S9-L45-1_L001_R2_001.fastq.gz,S9,L45,1,45,LR12,PI 620856,Xu et al. 2020,Landrace
62,S9-L45-2,S9-L45-2_L001_R1_001.fastq.gz,S9-L45-2_L001_R2_001.fastq.gz,S9,L45,2,45,LR12,PI 620856,Xu et al. 2020,Landrace
63,S9-L45-3,S9-L45-3_L001_R1_001.fastq.gz,S9-L45-3_L001_R2_001.fastq.gz,S9,L45,3,45,LR12,PI 620856,Xu et al. 2020,Landrace
64,S9-L46-1,S9-L46-1_L001_R1_001.fastq.gz,S9-L46-1_L001_R2_001.fastq.gz,S9,L46,1,46,LR13,PI 620859,Xu et al. 2020,Landrace
65,S9-L46-2,S9-L46-2_L001_R1_001.fastq.gz,S9-L46-2_L001_R2_001.fastq.gz,S9,L46,2,46,LR13,PI 620859,Xu et al. 2020,Landrace
66,S9-L46-3,S9-L46-3_L001_R1_001.fastq.gz,S9-L46-3_L001_R2_001.fastq.gz,S9,L46,3,46,LR13,PI 620859,Xu et al. 2020,Landrace
67,S9-L47-1,S9-L47-1_L001_R1_001.fastq.gz,S9-L47-1_L001_R2_001.fastq.gz,S9,L47,1,47,LR14,PI 620860,Xu et al. 2020,Landrace
68,S9-L47-2,S9-L47-2_L001_R1_001.fastq.gz,S9-L47-2_L001_R2_001.fastq.gz,S9,L47,2,47,LR14,PI 620860,Xu et al. 2020,Landrace
69,S9-L47-3,S9-L47-3_L001_R1_001.fastq.gz,S9-L47-3_L001_R2_001.fastq.gz,S9,L47,3,47,LR14,PI 620860,Xu et al. 2020,Landrace
